CTAB,Water,GCH,AA,SN,GS
96,86,59,35,0,24
96,78,59,23,20,24
96,86,59,1,34,24
96,82,59,22,17,24
96,103,59,13,5,24
96,63,59,34,24,24
96,89,59,11,21,24
96,89,59,29,3,24
96,106,59,6,9,24
96,69,59,24,28,24
96,74,59,17,30,24
96,79,59,31,11,24
96,115,59,4,2,24
96,85,59,18,18,24
96,88,59,7,26,24
96,90,59,24,7,24
96,96,59,11,14,24
96,61,59,28,32,24
96,77,59,12,32,24
96,80,59,27,14,24
96,105,59,8,8,24
96,73,59,23,25,24
96,100,59,2,19,24
96,102,59,19,0,24
96,93,59,16,12,24
96,60,59,32,29,24
96,89,59,5,27,24
96,85,59,26,10,24
96,109,59,9,3,24
96,69,59,31,21,24
96,83,59,15,23,24
96,82,59,33,6,24
96,104,59,2,15,24
96,66,59,20,35,24
96,73,59,14,34,24
96,71,59,34,16,24
96,115,59,0,6,24
96,78,59,21,22,24
96,94,59,6,21,24
96,93,59,25,3,24
96,100,59,10,11,24
96,66,59,29,26,24
96,88,59,4,29,24
96,90,59,18,13,24
96,103,59,17,1,24
96,71,59,31,19,24
96,85,59,12,24,24
96,84,59,28,9,24
96,100,59,7,14,24
96,66,59,23,32,24
